	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
s_pf[579]	0.7991574	0.004663042	0.2085376	0.4514427	0.648342	0.7811022	0.926944	1.249705	2000	0.9999496
s_pf[580]	0.9688886	0.006673062	0.2984284	0.4794518	0.7493459	0.9309467	1.158215	1.617554	2000	0.9984744
s_pf[581]	1.149121	0.007110855	0.3180071	0.6132319	0.9207152	1.122373	1.340266	1.857408	2000	1.000673
s_pf[582]	1.00109	0.007113827	0.31814	0.4711166	0.7688446	0.9712451	1.196528	1.701635	2000	1.00059
s_pf[583]	1.054133	0.00708466	0.3168356	0.511877	0.8297355	1.025128	1.245484	1.773897	2000	1.000102
s_pf[584]	1.062758	0.007359827	0.3291415	0.5108882	0.8269824	1.033188	1.268779	1.736594	2000	0.9986588
s_pf[585]	1.110209	0.007382496	0.2830858	0.6338444	0.905966	1.0812	1.290485	1.755194	1470.38	1.000667
s_pf[586]	0.9917827	0.006041184	0.27017	0.5416197	0.7979163	0.9701658	1.153941	1.595404	2000	0.9988182
s_pf[587]	1.019943	0.00653061	0.2920578	0.5429123	0.8061455	0.9810979	1.192179	1.660596	2000	0.9990345
s_pf[588]	0.921499	0.005593577	0.2501524	0.4983551	0.7455202	0.8978709	1.072555	1.46952	2000	0.9996071
s_pf[589]	0.7947851	0.004616288	0.2064467	0.4404245	0.6499288	0.7728179	0.9139664	1.260554	2000	0.9998826
s_pf[590]	0.9819499	0.006812434	0.3046613	0.4689143	0.7620688	0.9489426	1.164841	1.652626	2000	0.9995401
s_pf[591]	1.002168	0.006402904	0.2863466	0.5320161	0.7968306	0.9733697	1.171936	1.629806	2000	0.999745
s_pf[592]	1.042245	0.005767832	0.2579453	0.6282598	0.8588128	1.007096	1.196912	1.61526	2000	1.004018
s_pf[593]	0.9771961	0.006251173	0.279561	0.5128693	0.780866	0.9498022	1.145526	1.594962	2000	0.9994666
s_pf[594]	0.9709697	0.006877686	0.3075795	0.4640558	0.7484851	0.9366959	1.155394	1.661048	2000	0.9988578
s_pf[595]	1.079008	0.007610225	0.3403396	0.5164887	0.8394052	1.043201	1.281709	1.854342	2000	0.998733
s_pf[596]	0.9909531	0.00706126	0.3157892	0.4543369	0.7711472	0.9556652	1.179203	1.685919	2000	0.9983769
s_pf[597]	0.9673475	0.00677711	0.3030816	0.4628528	0.7534105	0.9332706	1.158969	1.636718	2000	1.000865
s_pf[598]	0.9661216	0.006661295	0.2979022	0.4823219	0.7474844	0.933028	1.149174	1.625074	2000	0.9985525
s_pf[599]	0.9096769	0.006652377	0.2975033	0.4367543	0.6975645	0.871895	1.079537	1.605737	2000	0.9992052
s_pf[600]	1.113951	0.007801721	0.3489036	0.5202164	0.8599565	1.093068	1.323658	1.871955	2000	0.9995988
s_pf[601]	1.019947	0.006278363	0.2807769	0.5608685	0.8251747	0.9895098	1.186163	1.655711	2000	0.9998202
s_pf[602]	0.9970833	0.006673119	0.298431	0.5237643	0.7796674	0.9619594	1.180969	1.64867	2000	0.9995199
s_pf[603]	0.9634495	0.006209211	0.2776844	0.5114778	0.7669797	0.9379723	1.125583	1.5737	2000	0.9988542
s_pf[604]	0.9768558	0.006929367	0.3098907	0.461821	0.7485969	0.9438999	1.160515	1.682519	2000	0.9991883
s_pf[605]	0.9901756	0.006930408	0.3099373	0.4948494	0.7622402	0.9614516	1.176487	1.704293	2000	0.999083
s_pf[606]	1.110659	0.007042967	0.3149711	0.5948006	0.8781849	1.075314	1.307888	1.807869	2000	1.000465
s_pf[607]	0.956434	0.007049453	0.2692697	0.5183192	0.7574371	0.9292285	1.117359	1.559432	1459.029	1.000053
s_pf[608]	0.9778165	0.007044852	0.3150554	0.469068	0.7517378	0.9376636	1.154285	1.66499	2000	0.9993149
s_pf[609]	1.05504	0.006380701	0.2853536	0.580732	0.8456413	1.029018	1.228711	1.739755	2000	0.999584
s_pf[610]	0.9723217	0.00708146	0.3166925	0.4515437	0.7447371	0.9473984	1.159952	1.672193	2000	0.9988747
s_pf[611]	1.014779	0.00707225	0.3162806	0.5109829	0.7859438	0.9692991	1.203824	1.711386	2000	0.9994057
s_pf[612]	0.9605431	0.006199196	0.2772365	0.495846	0.7569066	0.9383579	1.131291	1.562965	2000	1.000432
s_pf[613]	0.8616295	0.006163637	0.2756462	0.399135	0.668111	0.8325099	1.012904	1.499719	2000	1.000535
s_pf[614]	0.8918056	0.006104435	0.2729986	0.4341586	0.7017709	0.8517689	1.061064	1.509293	2000	1.000839
s_pf[615]	1.175569	0.00610269	0.2729206	0.7134463	0.9786886	1.153377	1.345977	1.780852	2000	1.003144
s_pf[616]	1.01092	0.007314375	0.3271088	0.4706254	0.7821663	0.9768396	1.199052	1.758946	2000	0.9992721
s_pf[617]	1.027892	0.00713001	0.3188637	0.5031331	0.8009593	0.9932655	1.221777	1.724387	2000	0.9987436
s_pf[618]	1.050925	0.008050499	0.3307523	0.5019771	0.8092425	1.021166	1.244867	1.798519	1687.952	1.001607
s_pf[619]	1.285554	0.007058194	0.2731671	0.8238557	1.103526	1.256589	1.444369	1.91924	1497.855	1.000668
s_pf[620]	0.9644603	0.006477372	0.2896769	0.4910289	0.7567801	0.9369159	1.134465	1.635379	2000	0.9996805
s_pf[621]	0.8777026	0.005390673	0.2410782	0.4889336	0.706891	0.8540931	1.019687	1.433469	2000	1.000833
s_pf[622]	0.9844326	0.006823428	0.305153	0.5040576	0.7564906	0.9517575	1.166606	1.678765	2000	0.9988392
s_pf[623]	0.9749844	0.006983214	0.3122988	0.4556918	0.7529956	0.9309331	1.164336	1.697879	2000	1.000582
s_pf[624]	1.002687	0.007136704	0.3191631	0.4764011	0.7708041	0.9704996	1.184594	1.72454	2000	0.9998807
s_pf[625]	1.07855	0.007788271	0.3483021	0.5177117	0.8290174	1.042182	1.295702	1.856857	2000	0.9995264
s_pf[626]	1.036069	0.007328783	0.3277532	0.4864534	0.8042425	1.010497	1.234927	1.768551	2000	0.999182
s_pf[627]	1.1084	0.007633581	0.3413841	0.5368487	0.8662358	1.076225	1.31831	1.856498	2000	1.000945
s_pf[628]	0.9916477	0.006988455	0.3125332	0.478431	0.7679252	0.9478231	1.189553	1.714942	2000	0.99965
s_pf[629]	0.9810501	0.006709879	0.3000749	0.4872022	0.7584046	0.9514796	1.178089	1.627723	2000	0.9987832
s_pf[630]	1.047729	0.007061885	0.3158171	0.5318666	0.8170502	1.021289	1.236714	1.751005	2000	0.998557
s_pf[631]	0.8340752	0.005399639	0.2414792	0.4351951	0.6604747	0.8119227	0.975865	1.372002	2000	0.9987689
s_pf[632]	1.435425	0.006503902	0.2908633	0.9682088	1.226277	1.399868	1.606619	2.066866	2000	1.000226
s_pf[633]	0.9908242	0.006960907	0.3113012	0.4929706	0.7689209	0.9625841	1.173362	1.707575	2000	0.9989453
s_pf[634]	0.9117398	0.006428814	0.2875053	0.4530077	0.7091996	0.879562	1.077072	1.574585	2000	0.9996807
s_pf[635]	0.9211887	0.006072961	0.2715911	0.4784013	0.7275174	0.8911006	1.085295	1.552214	2000	1.000101
s_pf[636]	0.8177968	0.005783234	0.2586341	0.4146456	0.6332682	0.7855515	0.9711626	1.392138	2000	0.9999958
s_pf[637]	1.125208	0.007425504	0.3320787	0.5439097	0.8966646	1.095774	1.328336	1.868703	2000	0.999966
s_pf[638]	1.026401	0.00710532	0.3177596	0.4946559	0.800621	0.9998637	1.220818	1.719236	2000	1.000153
s_pf[639]	0.9638789	0.006853762	0.3065095	0.462073	0.7473498	0.9359739	1.132129	1.64053	2000	0.9986529
s_pf[640]	0.9251771	0.006454375	0.2886484	0.456809	0.7050414	0.8977979	1.10098	1.571542	2000	1.001239
s_pf[641]	0.9116781	0.006241967	0.2791492	0.4622726	0.706175	0.8807026	1.075819	1.530742	2000	0.999084
s_pf[642]	0.8841793	0.005968113	0.2669021	0.4506593	0.6903873	0.8526377	1.044285	1.476005	2000	0.9997692
s_pf[643]	0.9715793	0.006553696	0.2930902	0.4769283	0.7603536	0.945808	1.159108	1.60744	2000	0.9994881
s_pf[644]	0.8657146	0.006279966	0.2808486	0.4271624	0.6608167	0.8307335	1.029896	1.489716	2000	1.00191
s_pf[645]	0.6865248	0.004684827	0.2095118	0.3471845	0.5368707	0.6581858	0.8096972	1.154207	2000	1.000729
s_pf[646]	0.9864433	0.006858909	0.3067397	0.4718605	0.7715125	0.9572621	1.171536	1.677797	2000	1.000193
s_pf[647]	1.021635	0.006988306	0.3125265	0.494562	0.8071489	0.9937256	1.199019	1.739848	2000	0.9987946
s_pf[648]	0.9196325	0.006483795	0.2899641	0.4505955	0.7107301	0.8903147	1.099219	1.566495	2000	0.9986134
s_pf[649]	0.9545102	0.006700327	0.2996477	0.4702311	0.7361709	0.9272172	1.139653	1.631813	2000	1.001973
s_pf[650]	0.9062665	0.006500749	0.2907223	0.4286768	0.6949323	0.8798364	1.091326	1.546306	2000	1.000938
s_pf[651]	1.015031	0.006103038	0.2729361	0.5782292	0.8259079	0.9884412	1.176667	1.626323	2000	1.000369
s_pf[652]	0.960252	0.006579731	0.2942545	0.4752728	0.7468894	0.9263189	1.143336	1.626225	2000	0.9988805
s_pf[653]	1.101834	0.006885134	0.3079125	0.584983	0.8730951	1.077398	1.276073	1.807161	2000	1.00121
s_pf[654]	0.8653226	0.00569388	0.254638	0.4513774	0.691588	0.8361473	1.012324	1.447782	2000	1.000461
s_pf[655]	0.9918729	0.006761629	0.3023893	0.4951686	0.7733394	0.9555542	1.181878	1.643916	2000	0.9995202
s_pf[656]	0.9800742	0.006818994	0.3049547	0.4793954	0.7601435	0.9536777	1.160659	1.658813	2000	0.9991565
s_pf[657]	0.9711426	0.007106963	0.317833	0.4571005	0.7528377	0.9307038	1.160642	1.682005	2000	0.9989735
s_pf[658]	1.112049	0.00764949	0.3420956	0.5376117	0.8741927	1.079433	1.319659	1.879508	2000	1.001088
s_pf[659]	0.9464441	0.00640963	0.2866474	0.4704625	0.7530968	0.915439	1.113669	1.603457	2000	0.9994242
s_pf[660]	0.6736052	0.00433531	0.193881	0.3682696	0.5316993	0.6537568	0.7925516	1.103529	2000	0.998532
s_pf[661]	0.8995776	0.00633653	0.2833782	0.4387297	0.6890033	0.8715275	1.068273	1.537429	2000	1.00077
s_pf[662]	1.10267	0.006793586	0.3038184	0.5866574	0.8863064	1.078348	1.28199	1.811145	2000	1.000595
s_pf[663]	0.9564914	0.00657818	0.2941851	0.4818209	0.7424118	0.9237413	1.12807	1.624658	2000	1.000292
s_pf[664]	1.027869	0.005117613	0.2288666	0.6550245	0.8643979	1.002289	1.160969	1.547257	2000	1.002241
s_pf[665]	0.9904018	0.005952214	0.2661911	0.5506843	0.7960931	0.9684493	1.156622	1.572007	2000	0.9986664
s_pf[666]	0.9263862	0.005232809	0.2340183	0.5323822	0.760201	0.9001748	1.071081	1.43083	2000	1.000308
s_pf[667]	1.030047	0.007238388	0.3237106	0.4854371	0.7967886	0.9987634	1.225423	1.732252	2000	0.9994737
s_pf[668]	1.019874	0.006861801	0.3068691	0.4940001	0.801466	0.9907305	1.212805	1.70343	2000	1.001077
s_pf[669]	0.9895112	0.006317693	0.2825358	0.5287697	0.7922411	0.9608323	1.154357	1.620935	2000	1.000111
s_pf[670]	0.9000687	0.006097061	0.2726689	0.455516	0.703666	0.8659588	1.068262	1.494991	2000	0.9998279
s_pf[671]	0.9677059	0.007161736	0.3202826	0.4366151	0.7360504	0.9377017	1.158028	1.689063	2000	0.999121
s_pf[672]	0.8800581	0.005923048	0.2648867	0.4522447	0.6871559	0.8573252	1.031081	1.492134	2000	0.9991886
s_pf[673]	0.9867655	0.006209251	0.2776862	0.5095513	0.7902508	0.9567749	1.150517	1.593985	2000	1.001256
s_pf[674]	0.8785461	0.006126862	0.2740016	0.438875	0.6875374	0.8533344	1.036232	1.536145	2000	0.999196
s_pf[675]	0.9542226	0.006705682	0.2998872	0.4772584	0.7396075	0.9231589	1.142653	1.60363	2000	0.9985855
s_pf[676]	0.9561856	0.006730287	0.3009876	0.4799811	0.7306309	0.922941	1.135082	1.649853	2000	0.999778
s_pf[677]	0.95768	0.006528525	0.2919645	0.4592102	0.7549586	0.9320562	1.139762	1.62025	2000	0.999532
